Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
IGF-I,2380.75,4718.73,9086.57,3465.77,6901.4,3625.2,2222.31,2472.01,2327.17,1544.74,759.04,1914.24,1958.25,610.48,64418.86,60828.14,113509.36
IGF-I SR,1007.5,1569.32,3717.19,2731.4,9958.92,2617.57,341.11,1105.95,695.54,0.96,1.13,105.95,7905.52,312.14,34677.64,36408.84,67727.19
IGF-II,17258.0,31028.87,39379.92,14577.41,36036.56,16351.66,29668.21,53068.42,15232.66,25876.33,31601.04,24103.27,88477.26,25944.7,44533.84,49261.23,84269.13
IGF-II R,1934.75,3324.55,6349.99,5598.95,7379.29,3679.42,2902.56,1578.9,2298.68,1654.53,918.35,1802.77,3475.9,231.83,33033.46,37764.22,80945.27
IL-1 alpha,20333.0,37295.57,24991.21,25662.47,14867.53,17893.82,25242.31,10846.42,17790.82,20788.27,16927.8,28426.2,39799.41,13608.22,78806.24,82553.85,108096.16
IL-1 beta,6009.75,9957.39,19533.54,8857.0,12183.74,7993.72,7826.29,4277.09,5650.0,2374.89,4530.26,3838.63,7568.8,1375.78,46220.21,58788.53,91368.3
IL-1 F5 / FIL1delta,7087.75,2652.5,20760.62,6619.84,17229.26,8468.57,1952.38,6620.07,9954.71,2369.6,16886.63,2261.9,19473.79,3822.93,41669.68,53109.92,125837.33
IL-1 F6 / FIL1 epsilon,6605.0,5456.48,8602.11,8886.61,11268.45,9022.12,3481.81,3628.42,3016.64,13159.91,10409.71,7421.43,19589.23,3853.29,31289.41,41349.68,78260.26
IL-1 F7 / FIL1 zeta,9924.5,15961.48,11796.84,13111.46,14211.16,10743.55,14844.12,6315.31,11763.15,23478.32,9478.96,20446.52,17126.61,3874.54,39328.8,50897.01,89014.56
IL-1 F8 / FIL1 eta,7068.5,8180.39,16179.18,9738.01,14591.29,10273.3,8582.73,4932.72,6901.41,7787.74,6610.85,7788.96,7115.51,380.31,44473.46,49566.97,86655.18
IL-1 F9 / IL-1 H1,6900.5,9413.16,12332.46,7358.18,9843.31,9745.98,5048.03,2662.24,4365.43,4847.06,4127.62,9101.91,9440.11,646.63,35407.23,35399.26,60560.79
IL-1 F10 / IL-1HY2,1148.75,0.85,5324.35,2999.74,4212.82,5559.14,2044.68,1.16,806.24,0.96,1.13,1009.66,1.13,1.1,29039.5,29821.6,49362.94
