Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
TNF RI / TNFRSF1A,393.25,1110.23,684.44,2646.07,3063.38,252.29,45.93,1.16,482.53,0.96,1.13,72.4,3403.64,1.1,7202.59,20586.96,24898.55
TNF RII / TNFRSF1B,10429.0,13781.38,28060.22,7173.07,26691.92,8623.57,9980.47,43671.58,9925.98,9871.31,14443.73,16647.18,12719.57,19079.87,64981.63,87485.69,152886.81
TRADD,7926.0,14605.76,29265.37,13670.52,31306.17,12207.01,9516.37,30643.7,11468.87,13903.87,19676.92,21085.34,20271.15,18344.38,17653.68,33598.35,30717.38
TRAIL / TNFSF10,4216.25,5520.07,3148.53,4246.77,3905.95,1325.29,2114.12,1.16,1374.96,873.49,1.13,2232.99,2568.47,1.1,5614.92,10798.07,13382.59
TRAIL R1 / DR4 / TNFRSF10A,1799.5,1582.42,7451.93,6666.7,8771.93,2114.3,1884.25,1758.68,1182.74,617.8,1.13,1258.21,4539.7,315.17,8413.28,22190.44,25205.77
TRAIL R2/ DR5 / TNFRSF10B,1951.0,1858.33,4737.27,3451.78,3813.25,1894.15,1156.76,425.1,1221.98,821.49,1.13,2038.52,2254.89,39.19,4024.15,13135.65,26844.8
TRAIL R3 / TNFRSF10C,1224.5,768.18,4119.5,4679.0,4786.87,1625.9,901.2,1.16,1478.89,658.01,382.62,946.08,8165.76,223.55,4099.62,14862.57,21488.31
TRAIL R4 / TNFRSF10D,230.5,0.85,3010.83,1763.89,2997.32,310.44,0.87,1.16,0.93,0.96,1.13,100.44,883.44,1.1,6626.28,18739.46,31005.82
TRANCE,1592.75,3169.48,9207.32,4219.96,6265.82,2086.75,1186.8,2394.88,1536.81,1457.58,1.13,13816.21,21646.83,6711.1,19007.97,26517.77,23425.91
TREM-1,1339.75,741.56,717.48,3358.53,222.96,1602.07,0.87,1.16,557.04,0.96,1.13,120.96,1.13,1.1,4125.55,8339.91,21960.78
TROY / TNFRSF19,733.75,367.82,3480.67,2330.41,3585.22,1611.47,1235.34,1.16,788.26,0.96,1.13,457.81,326.28,1.1,5026.99,11742.26,31486.94
TSG-6,858.0,925.79,239.16,2238.32,1560.73,757.75,287.77,1.16,0.93,0.96,1.13,504.61,592.72,1.1,3034.08,13585.67,20630.49
TSLP R,362.75,626.21,1403.38,1076.61,2994.39,483.16,71.83,1098.13,101.83,649.82,1.13,0.88,393.46,190.98,4163.1,13806.39,19192.4
TWEAK / TNFSF12,193.0,0.85,3190.34,1340.52,3825.5,314.38,633.45,585.16,0.93,0.96,1.13,0.88,777.31,1.1,4913.97,16267.0,21807.55
TWEAK R / TNFRSF12,214.75,0.85,429.2,734.14,218.97,1139.02,1132.81,391.75,59.79,0.96,1.13,118.32,59.27,1.1,6342.18,22788.43,27557.64
Ubiquitin+1,18977.5,121870.94,86908.48,23970.38,35230.5,39913.49,60152.72,109816.02,12498.63,148402.45,11220.35,19036.01,86134.59,20047.47,5526.28,64872.21,67306.54
uPA,1277.0,4004.0,5548.02,2800.87,8649.39,2110.15,2674.21,10600.23,2742.67,1812.95,2092.43,4090.5,4304.58,7763.7,69615.76,91723.91,101068.72
uPAR,584.5,374.37,4538.75,1671.34,4195.77,792.29,640.42,732.18,387.47,0.96,1.13,865.07,4613.08,1678.53,9083.65,31253.01,17987.92
Vasorin,2328.0,3993.65,1.17,2327.38,1.07,1766.25,2018.99,1.16,1379.86,1759.5,1.13,2857.23,1.13,1.1,12061.99,29551.84,68663.12
VCAM-1 (CD106),998.5,1405.16,1.17,3456.68,1808.99,563.61,13.93,1.16,368.09,0.96,1.13,650.51,3439.21,1.1,8463.21,23630.84,21409.81
VE-Cadherin,1790.5,1804.88,8122.33,2081.19,5348.93,16656.86,19335.31,9865.15,1106.6,332.01,1.13,734.4,568.73,1.1,10719.7,24772.45,36023.92
VEGF,1974.5,3046.94,2167.63,1727.99,964.83,1390.88,1886.43,1.16,1044.94,700.14,1.13,4064.45,4554.66,27.05,36521.93,45505.74,35650.59
VEGF R2(KDR),906.5,1157.55,1270.35,1688.82,1305.27,1229.97,0.87,1.16,1116.87,441.56,1.13,299.98,1.13,26.22,4128.26,10934.18,19933.41
VEGF R3,14621.0,18475.81,26791.63,2917.44,3460.82,2538.65,1308.26,169.92,974.87,143.25,1.13,1075.21,1317.54,1.1,4815.66,10987.32,27789.75
VEGF-B,144.75,0.85,2904.11,1584.38,3888.1,707.46,25.47,1.16,0.93,0.96,1.13,0.88,295.52,1.1,6589.89,13002.81,25674.12
VEGF-C,1260.75,1055.51,8760.29,4932.88,11723.16,1811.94,1386.19,1936.73,1730.2,301.92,1.13,1581.37,5651.76,991.33,5396.62,11492.52,21701.63
VEGF-D,600.25,296.2,4003.72,2525.54,5863.31,496.71,0.87,401.61,0.93,0.96,1.13,98.01,3066.36,1.1,4307.47,23844.2,24622.88
VEGI / TNFSF15,1.0,0.85,2904.7,1032.08,4038.87,446.43,0.87,1.16,0.93,0.96,1.13,0.88,1.13,1.1,3345.26,11158.17,15820.46
WIF-1,200.75,0.85,2832.19,1334.93,4578.82,0.87,0.87,1.16,0.93,0.96,1.13,0.88,1.13,1.1,2486.79,9038.45,15938.02
WISP-1 / CCN4,199.5,143.45,1794.28,980.56,1612.4,1108.42,1184.84,584.29,160.92,197.43,1.13,338.61,997.75,1.1,5301.79,18562.48,41242.94
XEDAR,493.75,43.31,1329.41,975.43,1742.13,451.24,446.68,320.71,0.93,0.96,1.13,132.88,1.13,1.1,14430.73,75893.45,31148.92
